GPU	Manufacter	Model	Core Clock	Mem Clock	Operating system	Driver Version	Mining Software	Power Consumption	Currency	Algorythm	Speed	Revenue / Day	Revenue / Month	Hashrate / Watt	Revenue / Month (electricity deducted)
AMD	ASUS	Strix RX 580 8GB	1360	2000	Windows 10	Crimson 17.10.3	Claymore	217	Monero	Cryptonight	720	$ 0.06	$ 1.77		$ -17.60
AMD	SAPPHIRE	SAPPHIRE NITRO R9 FURY			Ubuntu 16.04		CLAYMORE 11.1	260	Zcash	Equihash	420	$ 0.06	$ 1.68		$ -21.53
AMD	SAPPHIRE	SAPPHIRE NITRO R9 FURY	1050	1000	Ubuntu 16.04		Claymore 11.1	260	Zcash	Equihash	420	$ 0.06	$ 1.68		$ -21.53
AMD	GIGABYTE	GIGABYTE GTX 1070			Windows 10		EWBF'S CUDA MINER 0.2.0b	150	Zcash	Equihash	410	$ 0.05	$ 1.64		$ -11.75
AMD	AMD	RX 580 4GB OC -30 mV	1289	2033	Windows 10	17.9.3	Claymore	160	Monero	Cryptonight	645	$ 0.05	$ 1.59		$ -12.69
AMD	POWERCOLOR	RX 480 OC	1365	1750	Windows 10		Claymore	165	Monero	Cryptonight	644	$ 0.05	$ 1.59		$ -13.14
AMD	POWERCOLOR	RX 480 stock	1266	1750	Windows 10		Claymore	135	Monero	Cryptonight	636	$ 0.05	$ 1.57		$ -10.48
AMD	MSI	MSI ARMOR RADEON RX580			Windows 10		CLAYMORE CRYPTONOTE GPU MINER V9.7 BETA	185	Monero	Cryptonight	634	$ 0.05	$ 1.56		$ -14.96
AMD	SAPPHIRE	RX 580 NITRO+ HYNIX 4GB			Ethos		ETHOS MONERO MINER	75	Monero	Cryptonight	629	$ 0.05	$ 1.55		$ -5.15
AMD	AMD	RYZEN 7 1700			Windows 10		XMR-STAK-CPU	78	Monero	Cryptonight	610	$ 0.05	$ 1.50		$ -5.46
AMD	ASUS	RX 570 expedition	1255	1750	Windows 10	17.7	Claymore CryptoNote 9.7 Beta	150	Monero	Cryptonight	578	$ 0.05	$ 1.42		$ -11.97
AMD	AMD	ATI RADEON R9 390			Windows 7 x64		CLAYMORE'S ZCASH AMD GPU MINER v11.1	285	Zcash	Equihash	334	$ 0.04	$ 1.33		$ -24.11
AMD	SAPPHIRE	RX 470 Nitro	1050	1850	Windows 10	Crimson 16.11.5	BBT Multiminer	150	Monero	Cryptonight	520	$ 0.04	$ 1.28		$ -12.11
AMD	GIGABYTE	GYGABYTE 7950			Windows 10		CLAYMORE V12.4	180	Zcash	Equihash	320	$ 0.04	$ 1.28		$ -14.79
AMD	SAPPHIRE	Vapor-x 7970 OC	1180	1500			Claymore	182	Monero	Cryptonight	501	$ 0.04	$ 1.23		$ -15.02
AMD	ASUS	R7 370 Strixx Stock	1175	1400	Windows 10		Claymore	131	Monero	Cryptonight	494	$ 0.04	$ 1.22		$ -10.48
AMD	XFX	7970 OC	1125	1375	Windows 10		Claymore	165	Monero	Cryptonight	493	$ 0.04	$ 1.21		$ -13.52
AMD	SAPPHIRE	HD 7970 Vapor-X	1050	1500	Windows 10		Claymore	178	Monero	Cryptonight	482	$ 0.04	$ 1.19		$ -14.70
AMD	GIGABYTE	RX 550	1250	1825	Windows 10		XMR Stak	49	Monero	Cryptonight	475	$ 0.04	$ 1.17		$ -3.20
AMD	MSI	R9 390	1130	1540	Ethos		Claymore	260	Zcash	Equihash	290	$ 0.04	$ 1.16		$ -22.05
AMD	AMD	sapphire RX 570 Pulse 4GB - moded bios + patch	1284	1750	Windows 10	Radeon Software Version 18.2.3	Claymore's ZCash AMD GPU Miner. 12.6	116	Zcash	Equihash	287	$ 0.04	$ 1.15		$ -9.21
AMD	ASUS	R7 370 Strixx Stock	1050	1400	Windows 10		Claymore	127	Monero	Cryptonight	462	$ 0.04	$ 1.14		$ -10.20
AMD	XFX	7970 stock	925	1375	Windows 10		Claymore	153	Monero	Cryptonight	464	$ 0.04	$ 1.14		$ -12.52
AMD	MSI	MSI R7950			Windows 10		CLAYMORE V12.4	150	Zcash	Equihash	280	$ 0.04	$ 1.12		$ -12.27
AMD	MSI	MSI RADEON RX 470 GAMING			Ethos		CLAYMORE'S ZCASH AMD GPU MINER V12.4	130	Zcash	Equihash	278	$ 0.04	$ 1.11		$ -10.50
AMD	AMD	Gigabyte HD 7950	1250	800	Windows 10		Claymore	140	Zcash	Equihash	277	$ 0.04	$ 1.11		$ -11.39
AMD	SAPPHIRE	RX 470 nitro -60mV	1150	1950	Windows 10			72	Zcash	Equihash	275	$ 0.04	$ 1.10		$ -5.33
AMD	AMD	OEM R9 370 OC	975	1400	Windows 10		Claymore	126	Monero	Cryptonight	446	$ 0.04	$ 1.10		$ -10.15
AMD	ASUS	RX 570 ROG Strix 4Gb Gaming OC Edition GDDR5	1112	000	Windows 10	17.5.1	Claymore	150	Zcash	Equihash	267	$ 0.04	$ 1.07		$ -12.32
AMD	AMD	AMD Radeon HD 6750M	600	800	Windows 10	15.201.1151.1008-151104a-296217E	MinerGate	100	Ethereum	Ethash	283000	$ 0.04	$ 1.06		$ -7.87
AMD	XFX	XFX RADEON RS RX 480 8 GB	1288	8000	Ubuntu 16.04		Claymore 11.1	150	Zcash	Equihash	260	$ 0.03	$ 1.04		$ -12.35
AMD	HIS	HIS RX 480			Windows 7 x64		CLAYMORE 9.2 AND CATALYST 16.12.2	150	Zcash	Equihash	238	$ 0.03	$ 0.95		$ -12.44
AMD	SAPPHIRE	SAPPHIRE 7950 DUAL-X			Windows 7 x64		CLAYMORE 12.4	180	Zcash	Equihash	210	$ 0.03	$ 0.84		$ -15.23
AMD	SAPPHIRE	SAPPHIRE 7950 DUAL-X 3GB			Windows 7 x64		Claymore 12.4	180	Zcash	Equihash	210	$ 0.03	$ 0.84		$ -15.23
AMD	GIGABYTE	RX 550	1250	1825	Windows 10		Claymore	50	Zcash	Equihash	180	$ 0.02	$ 0.72		$ -3.74
AMD	XFX	R9 380 2GB	990		Windows 7	17.7.5	nicehash	180	Zcash	Equihash	180	$ 0.02	$ 0.72		$ -15.35
AMD	ASUS	ASUS RADEON RX 460 (ASUS DUAL-RX460-2G)			Windows 7 x64		CLAYMORE'S ZCASH AMD GPU MINER V12.4	46	Zcash	Equihash	117	$ 0.02	$ 0.47		$ -3.64
AMD	ASUS	RX 460 Bios modded	1250	2000	Windows 10	16.12.2	Claymore	166	Zcash	Equihash	99	$ 0.01	$ 0.40		$ -14.42
AMD	INTEL	2X INTEL XEON E5 2699V3@2.3GHZ (2X18 CORES, 2X45MB CACHE)			Ubuntu 16.04		LUKMINER	145	Bitcoin	SHA-256	1540	$ 0.00	$ 0.00		$ -12.95
AMD	INTEL	2 X 22-CORE INTEL E5-2699V4 2.1GHZ (BETA MODEL)			Centos 7		XMR-STAK-CPU	330	Bitcoin	SHA-256	1590	$ 0.00	$ 0.00		$ -29.46
AMD	HIS	HIS RX 480	1288	8000	Windows 7 x64		CLAYMORE v9.2	150	Ethereum	Ethash	238	$ 0.00	$ 0.00		$ -13.39
ASICS	DAYUN	Zig Z1+						1200	Vertcoin	Verthash	7200000000	$ 19621.39	$ 588641.73	6.00	$ 588534.59
ASICS	DAYUN	Zig Z1+						1200	Verge	Scrypt	7200000000	$ 537.51	$ 16125.29	6.00	$ 16018.15
ASICS	MICROBT	WHATSMINER D1						2200	Decred	Blake-256	44000000000000	$ 250.45	$ 7513.63	20000.00	$ 7317.21
ASICS	INNOSILICON	A9 ZMaster			Innosilicon Firmware			650	ZenCash	Equihash	50000	$ 232.58	$ 6977.34		$ 6919.31
ASICS	BITTECH	STRONGU STU-U1						1600	Decred	Blake-256	11000000000000	$ 62.61	$ 1878.41	6875.00	$ 1735.56
ASICS	BITTECH	NS						1250	Orbitcoin	Neoscrypt	63200000	$ 54.77	$ 1642.95		$ 1531.35
ASICS	MICROBT	Whatsminer M30S+						3400	Bitcoin	SHA-256	112000000000000	$ 44.69	$ 1340.80	32941.18	$ 1037.25
ASICS	BITMAIN	Antminer S19 PRO						3250	Bitcoin	SHA-256	110000000000000	$ 43.90	$ 1316.86	33846.15	$ 1026.70
ASICS	ASICS	SP50			Bitmain Firmware			16570	Bitcoin	SHA-256	110000000000000	$ 43.90	$ 1316.86	6638.50	$ -162.51
ASICS	MICROBT	Whatsminer M30S++						3400	Bitcoin	SHA-256	100000000000000	$ 39.90	$ 1197.15	29411.76	$ 893.60
ASICS	IBELINK	iBeLink DSM7T						2100	Decred	Blake-256	7000000000000	$ 39.85	$ 1195.35	3333.33	$ 1007.86
